id,alias,call_sign,code_iata,code_icao,country_id,name
HR,,LIANHANG,HR,CUA,cn,China United Airlines
HT,,IMPERIAL,HT,IMP,gr,Hellenic Imperial Airways
HU,,HAINAN,HU,CHH,cn,Hainan Airlines
HV,,TRANSAVIA,HV,TRA,nl,Transavia Holland
HW,,FLYHELLO,HW,FHE,ch,Hello
HX,,BAUHINIA,HX,CRK,,Hong Kong Airlines
HY,,UZBEK,HY,UZB,uz,Uzbekistan Airways
HZ,,SATCO,HZ,SOZ,kz,Sat Airlines
I2,,,I2,IBS,es,Iberia Express
I5,,,I5,IDS,id,Indonesia Sky
I6,,LINK,I6,MXI,mx,MexicanaLink
I7,,PARAWAY,I7,PMW,in,Paramount Airways
I8,,,I8,,ru,IzAvia
I9,,AIR ITALY,I9,AEY,it,Air Italy
I9,,INDIGO BLUE,I9,IBU,us,Indigo
IA,,IRAQI,IA,IAW,iq,Iraqi Airways
IB,,IBERIA,IB,IBE,es,Iberia Airlines
IC,,INDAIR,IC,IAC,in,Indian Airlines
ID,,INTERLINK,ID,ITK,za,Interlink Airlines
IE,,SOLOMON,IE,SOL,sb,Solomon Airlines
IF,,PINTADERA,IF,ISW,es,Islas Airways
IG,,MERAIR,IG,ISS,it,Meridiana
II,Moskva-air,moose,II,UWW,ru,LSM International
IK,,IMPROTEX,IK,ITX,az,Imair Airlines
IN,,MAKAVIO,IN,MAK,mk,MAT Macedonian Airlines
IO,,INDO LINES,IO,IAA,id,Indonesian Airlines
IP,,,IP,ISX,is,Island Spirit
IQ,,AUGSBURG-AIR,IQ,AUB,de,Augsburg Airways
IR,,IRANAIR,IR,IRA,,Iran Air
IS,,,IS,,us,Island Airlines
IT,,KINGFISHER,IT,KFR,in,Kingfisher Airlines
IV,,GHIBLI,IV,JET,it,Wind Jet
IW,,WINGS ABADI,IW,WON,id,Wings Air
IX,,EXPRESS INDIA,IX,AXB,in,Air India Express
IY,,YEMENI,IY,IYE,ye,Yemenia
IZ,,ARKIA,IZ,AIZ,il,Arkia Israel Airlines
J2,,AZAL,J2,AHY,az,Azerbaijan Airlines
