id,code_iata,code_icao,country_id,municipality,name,timezone_id
0ak9,,0ak9,us,Point Mackenzie,Falcon Lake Strip,America/Anchorage
0al1,,0al1,us,Foley,Resort Airport,America/Chicago
0al5,,0al5,us,Flomaton,Flomaton Airport,America/Chicago
0al9,,0al9,us,Florence,Wilson Creek Airport,America/Chicago
0ar1,,0ar1,us,Centerville,Hooterville South Airport,America/Chicago
0ar2,,0ar2,us,Crawfordsville,Mission Field-Marotti Memorial Airport,America/Chicago
0ar3,,0ar3,us,Deer,Taylor's Air Strip,America/Chicago
0ar7,,0ar7,us,Watson,Yancopin Airport,America/Chicago
0az1,,0az1,us,Marana,Taylor Field,America/Phoenix
0az2,,0az2,us,Salome,Western Sky Airport,America/Phoenix
0az4,,0az4,us,Mobile,Flying Bucket Ranch Airport,America/Phoenix
0az5,,0az5,us,Morristown,Castle Well Airport,America/Phoenix
0ca1,,0ca1,us,Santa Maria,Northside Airpark,America/Los_Angeles
0ca3,,0ca3,us,Santa Ynez,Crawford Airport,America/Los_Angeles
0ca4,,0ca4,us,Santa Ynez,Shepherd Ranch Airport,America/Los_Angeles
0ca5,,0ca5,us,Santa Ysabel,Hoffman Private Airport,America/Los_Angeles
0ca6,,0ca6,us,Ocotillo,Emory Ranch Airport,America/Los_Angeles
0ca8,,0ca8,us,Aguanga,Ward Ranch Airport,America/Los_Angeles
0ca9,,0ca9,us,Shandon,Blech Ranch Airport,America/Los_Angeles
0cd2,,0cd2,us,Yoder,Foxx Valley Airport,America/Denver
0cd5,,0cd5,us,Trinidad,Pinon Canyon Airport,America/Denver
0cd7,,0cd7,us,Lafayette,Fox Hole Airport,America/Denver
0cl0,,0cl0,us,Raymond,Yosemite Hidden Lake Ranch Airport,America/Los_Angeles
0cl1,,0cl1,us,Adelanto,Krey Field Airport,America/Los_Angeles
0cl3,,0cl3,us,Chula Vista,John Nichol's Field Airport,America/Los_Angeles
0cl6,,0cl6,us,Lancaster,Bohunk's Airpark,America/Los_Angeles
0cl8,,0cl8,us,Ridgecrest,Tera Ultralightport,America/Los_Angeles
0co1,,0co1,us,Louisville,Dave's Airport,America/Denver
0co2,,0co2,us,Crested Butte,Buckhorn Ranch Airport,America/Denver
